CountyName,latitude,longitude
Lyon,5370079.545043744,-10710079.380813299
Osceola,5369783.071448686,-10644789.11737031
Dickinson,5369702.034501786,-10592148.13956216
Emmet,5369709.684947006,-10539569.473781947
Allamakee,5355395.794896581,-10172145.97904313
Kossuth,5343201.3867376605,-10487044.169440398
Winneshiek,5356378.703599841,-10223993.661935365
Howard,5366465.618408573,-10276700.38274675
Winnebago,5369634.666876324,-10434441.087026535
Mitchell,5366418.8270181,-10329234.73438613
Worth,5369607.79590219,-10381745.439590229
Sioux,5324593.5567687545,-10706473.819270838
Obrien,5324764.411053026,-10644913.837935118
Clay,5324590.480831758,-10592156.936949033
Palo Alto,5324510.627116517,-10539522.659960613
Hancock,5324483.345364892,-10434445.943892725
Cerro Gordo,5324425.325251543,-10381758.173228346
Chickasaw,5321141.797742238,-10276762.551253296
Floyd,5321127.681887061,-10329240.925894912
Clayton,5288438.091948849,-10168007.487416644
Fayette,5291147.476650566,-10224064.87821874
Plymouth,5272181.481152656,-10710505.48666473
Cherokee,5271854.572134786,-10644797.864851091
Buena Vista,5271842.3415259095,-10592184.480804391
Pocahontas,5271625.539708916,-10539592.291096047
Humboldt,5278034.324392029,-10487093.008604046
Wright,5271478.714569276,-10434549.971705345
Bremer,5277740.604871546,-10276796.890328903
Franklin,5271385.75320898,-10381939.563347483
Butler,5271235.020168455,-10329360.990068534
Dubuque,5231501.251048172,-10117001.421071557
Delaware,5231871.453977565,-10170974.938471094
Webster,5225362.73310557,-10484267.705553379
Buchanan,5231799.151519543,-10223344.762511885
Black Hawk,5231691.264721408,-10275779.107445652
Woodbury,5219562.419669706,-10691651.67434512
Ida,5219148.548236687,-10632515.137926465
Sac,5219054.834114961,-10587091.988862352
Calhoun,5218890.576720907,-10535330.066629374
Hamilton,5218678.074660299,-10431394.016379518
Hardin,5218694.999237915,-10379481.466376485
Grundy,5221393.3569568405,-10329495.142694887
Jackson,5186776.6337983655,-10082671.669129716
Jones,5179196.144225937,-10144709.355141837
Linn,5172865.380176313,-10196755.341426695
Benton,5173050.409636584,-10248715.253086656
Tama,5172995.930972432,-10300682.847037615
Monona,5168758.902570204,-10682211.489137124
Crawford,5166592.199597861,-10617877.091983018
Carroll,5166451.085851224,-10559831.69259877
Greene,5166449.682474439,-10508211.30871737
Boone,5166481.7795966035,-10456428.59122775
Story,5166439.3777771285,-10404493.27676317
Marshall,5166386.532013677,-10352582.138435842
Clinton,5145755.060006671,-10077978.38106104
Cedar,5126980.762782536,-10144820.135624746
Harrison,5113670.233525131,-10666243.457736291
Shelby,5113968.16793132,-10609891.141094476
Audubon,5113898.646077848,-10564872.098839175
Guthrie,5113763.506096192,-10519813.097222049
Johnson,5111940.877834047,-10195544.775738303
Dallas,5113926.46974587,-10468466.071780555
Iowa,5114145.605453858,-10248686.12499511
Polk,5114003.54468481,-10416559.654278353
Poweshiek,5114164.587294892,-10300568.865878113
Jasper,5114099.035192944,-10358712.665007534
Scott,5106804.499738655,-10088139.17922531
Muscatine,5084009.855897622,-10142628.756367033
Pottawattamie,5062162.069797951,-10635734.560181288
Cass,5061406.340584366,-10567322.32210517
Washington,5062005.745137025,-10209991.282477245
Adair,5061286.2110010125,-10516458.726798918
Keokuk,5062128.411510724,-10261279.806915047
Warren,5061804.514784688,-10415216.023279987
Madison,5061275.950540647,-10465772.680229567
Mahaska,5061945.595416634,-10312756.483249558
Marion,5061833.675120578,-10363800.802566053
Louisa,5044658.4560414655,-10158988.196050312
Mills,5017300.190149478,-10644514.123552298
Montgomery,5016812.996500181,-10592767.70738997
Adams,5016643.401968001,-10541879.395175539
Henry,5010605.185077363,-10190691.590976352
Jefferson,5017063.021901255,-10235706.364540745
Union,5016447.921219309,-10491028.912102701
Wapello,5016870.415937165,-10286991.29064667
Clarke,5016647.765317456,-10440119.849591654
Lucas,5016686.850215357,-10389203.576780813
Monroe,5016758.820030938,-10338152.670488361
Des Moines,5001065.609019509,-10150269.648327863
Fremont,4974908.7110182205,-10642660.004812185
Page,4973980.178541785,-10592077.264986252
Taylor,4973715.1337044975,-10541565.228477655
Ringgold,4973397.659659988,-10491202.433025535
Van Buren,4976043.917270498,-10235833.867379026
Davis,4975226.043561008,-10287008.14851161
Decatur,4973755.891563258,-10440248.005441235
Wayne,4974007.178708028,-10389155.200984182
Appanoose,4974569.6305673225,-10338083.811531559
Lee,4959747.349756732,-10183421.974403495
