EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
747603,JASPER CO.,PRAIRIE CITY,05/03/2018,1846,Tornado, ,EF0,0,0,0,0,IA,CST-6, ,124592,C,99,DMX,0,0,NWS Storm Survey, ,0.43,25,4,SSW,3,SSW,PRAIRIE CITY,05/03/2018,1847,41.5479,-93.2512,41.5526,-93.2456,"Tornado had short path through an agricultural field and nearby wooded area producing damage to trees.","For a third consecutive day, a boundary found itself draped from NE to SW roughly cutting the state of Iowa in half.  Similar afternoon conditions resulted as well with 1000 - 2000 J/kg MUCAPE, little CIN, and borderline to good effective bulk shear around 30 to 40 kts and pushing 50 kts at times.  With storms more closely rooted to the boundary, low level helicity in excess of 150 m2/s2 raised at least some concern for tornadoes. After a few initial discrete cells, storms eventually congealed into a progressive QLCS that moved across central Iowa and produced 3 weak tornadoes just east of the Des Moines metro area along with a few reports of wind damage and sub-severe hail.",1
747606,MARION CO.,PERCY,05/03/2018,1848,Tornado, ,EF0,0,0,0,0,IA,CST-6, ,124592,C,125,DMX,0,0,Public, ,1.07,25,1,NNE,2,NNE,PERCY,05/03/2018,1850,41.4875,-93.2459,41.4997,-93.233,"Tree damage associated with a short lived tornado just adjacent to Des Moines River.  Tornado was reported by public.","For a third consecutive day, a boundary found itself draped from NE to SW roughly cutting the state of Iowa in half.  Similar afternoon conditions resulted as well with 1000 - 2000 J/kg MUCAPE, little CIN, and borderline to good effective bulk shear around 30 to 40 kts and pushing 50 kts at times.  With storms more closely rooted to the boundary, low level helicity in excess of 150 m2/s2 raised at least some concern for tornadoes. After a few initial discrete cells, storms eventually congealed into a progressive QLCS that moved across central Iowa and produced 3 weak tornadoes just east of the Des Moines metro area along with a few reports of wind damage and sub-severe hail.",2
747607,JASPER CO.,KROHN FLD ARPT,05/03/2018,1856,Tornado, ,EF0,0,0,0,0,IA,CST-6, ,124592,C,99,DMX,0,0,NWS Storm Survey, ,0.39,25,4,SE,4,ESE,KROHN FLD ARPT,05/03/2018,1857,41.6012,-93.1442,41.6045,-93.1382,"Tree damage observed from a short lived tornado, otherwise it remained in agricultural fields.","For a third consecutive day, a boundary found itself draped from NE to SW roughly cutting the state of Iowa in half.  Similar afternoon conditions resulted as well with 1000 - 2000 J/kg MUCAPE, little CIN, and borderline to good effective bulk shear around 30 to 40 kts and pushing 50 kts at times.  With storms more closely rooted to the boundary, low level helicity in excess of 150 m2/s2 raised at least some concern for tornadoes. After a few initial discrete cells, storms eventually congealed into a progressive QLCS that moved across central Iowa and produced 3 weak tornadoes just east of the Des Moines metro area along with a few reports of wind damage and sub-severe hail.",3
758462,JONES CO.,OLIN,05/03/2018,2215,Tornado, ,EF0,0,0,0,0,IA,CST-6, ,126534,C,105,DVN,0,0,NWS Storm Survey, ,0.01,10,1,W,1,W,OLIN,05/03/2018,2216,42.0012,-91.1489,42.0013,-91.1489,"A NWS storm survey team reported an EF-0 tornado touched down briefly northwest of Olin, IA.  The path width was 10 yards, track distance was estimated to be roughly 0.1 miles with a max wind of 75 mph. A 150 pound fire hydrant was displaced 15 to 20 feet and a metal shed was lofted 70 feet away.","A narrow line of thunderstorms moved east through eastern Iowa. An isolated mesovortex developed along the line and produced a brief tornado. The EF-0 tornado touched down briefly northwest of Olin, IA. A 150 pound fire hydrant was displaced 15 to 20 feet and a metal shed was lofted 70 feet away.",4
754662,POCAHONTAS CO.,PLOVER,05/28/2018,1320,Tornado, ,EF0,0,0,0,100,IA,CST-6, ,125810,C,151,DMX,0,0,Trained Spotter, ,0.87,30,3,SE,2,ESE,PLOVER,05/28/2018,1322,42.8511,-94.5836,42.8635,-94.587,"Landspout formed under developing thunderstorm in the early afternoon.  Photographed from a few different angles and persisted for a few minutes before dissipating.  Stayed in rural areas between Rolfe and Plover in open agricultural fields.  Did no damage other than to emergent crops.","A juicy air mass was in place across the region with highs into the mid 90s and dew points into the mid 60s to low 70s. Resulting SB and MUCAPE values were in the 3000 to 4000 J/kg values. Other supporting factors for sustained severe storms were relatively lacking with little effective helicity to speak of, let alone effective shear. DCAPE, however, was fairly robust in the 1400-1700 J/kg range.  Additionally, a weak north-south boundary was laid up across western Iowa that saw a brief landspout near Plover during initial development of storms. Overall, the majority of reports through central and northern Iowa were severe hail and winds from short-lived convection.",5
754663,STORY CO.,AMES,05/29/2018,1458,Tornado, ,EF0,0,0,0,100,IA,CST-6, ,125811,C,169,DMX,0,0,Public, ,0.3,30,4,ENE,4,ENE,AMES,05/29/2018,1501,42.0533,-93.5533,42.0576,-93.5542,"Video of the landspout was obtained via social media.  A well-formed landspout occurred in open agricultural fields just east of Interstate 35 near Ames.  The landspout remained in ag fields with the only damage to emerging crops as it drifted just west of due north under developing thunderstorms.","General surface high pressure remained in the region, keeping the area hot. With moisture off the from remnants of Alberto and general southerly flow down to the Gulf of Mexico, moisture was fairly plentiful with surface dew points in the mid to upper 60s. Support for sustained severe weather was fairly lackluster, with limited hail CAPE, negligible effective shear, but overall SBCAPE values did exceed 3000 to 4000 J/kg. DCAPE values were relatively high in excess of 1000 to 1200 J/kg, raising concern for strong downdrafts/microbursts.  ||Lingering convection from western Kansas the day before slowly worked towards western Iowa in the morning hours as waves ejected from a western upper level trough. Additionally, weak warm air advection aided initial storm initiation across the western half of Iowa ahead of the larger wave moving off the Rockies. Initially, numerous storms were seen by early afternoon with most being sub-severe. Outflows form early storms also proceeded to initiate subsequent storms, eventually congealing briefly into a linear looking structure. Nearly all severe reports received were wind related from microbursts and collapsing storms as well as one landspout near Ames. Power outages occurred with the storms with at over 9,000 customers without power at one time or another between Ames and Des Moines.",6
755912,WINNEBAGO CO.,LELAND,06/09/2018,1407,Tornado, ,EF1,0,0,15000,500,IA,CST-6, ,126102,C,189,DMX,0,0,Storm Chaser, ,2.75,80,2,S,2,E,FOREST CITY,06/09/2018,1413,43.3016,-93.63,43.2651,-93.6082,"A weak tornado developed northeast of Forest City staying in rural areas.  The tornado was captured on video from several different angles.  While the condensation funnel did not extend to the ground for much of its path, video clear shows debris and dust being picked up by the surface circulation.  The tornado snapped power transmission poles along with damage to crops as it remained over agricultural land for the duration of its path.","Severe storms developed in northern Iowa producing two tornadoes along with several reports of large hail.",7
755913,CERRO GORDO CO.,CLEAR LAKE LAKE,06/09/2018,1436,Tornado, ,EF0,0,0,0,200,IA,CST-6, ,126102,C,33,DMX,0,0,Storm Chaser, ,1.18,30,5,N,5,NNE,CLEAR LAKE LAKE,06/09/2018,1438,43.226,-93.4139,43.2159,-93.3951,"Brief weak tornado formed south of Fertile and moved slowly southeast.  Tornado remained in open agricultural land with damage only to crops.  Captured on video by storm chasers.","Severe storms developed in northern Iowa producing two tornadoes along with several reports of large hail.",8
755968,BUCHANAN CO.,MONTI,06/09/2018,2036,Tornado, ,EF1,0,0,0,0,IA,CST-6, ,125185,C,19,DVN,0,0,NWS Storm Survey, ,0.1,20,4,NE,4,NE,MONTI,06/09/2018,2037,42.4419,-91.6231,42.443,-91.6219,"An EF-1 tornado touched down southeast of Winthrop, Iowa.  A house was damaged and the garage door failed, which allowed the roof to come off. Nearby tree damage was also surveyed.","After an early morning flash flood event in eastern Iowa, with some damaging winds near the Mississippi River, a line of slow moving supercell thunderstorms moved southeast from northern Iowa, into portions of eastern Iowa the evening of June 9th. Damaging winds, large hail, a few tornadoes, and torrential rain accompanied the storms.  This event brought flash flooding, and led to some minor to moderate river flooding on the Cedar, Iowa, and Wapsipinicon Rivers.",9
771342,FREMONT CO.,MC PAUL,06/11/2018,1759,Tornado, ,EF0,0,0,0,0,IA,CST-6, ,127916,C,71,OAX,0,0,NWS Storm Survey, ,0.1,10,0,N,1,E,MC PAUL,06/11/2018,1800,40.82,-95.8,40.82,-95.79,"Tree damage from embedded tornado.  Large tree limbs down from tops of elm and oak trees.  Empty tractor trailer was moved from its mooring blocks.","A weak upper-level disturbance tracked from the central High Plains through the mid Missouri Valley, encouraging the development of a surface low from southeast South Dakota into eastern Nebraska.  Meanwhile, an associated cold front progressed east into eastern Nebraska by afternoon with a stationary boundary extending from the surface low through southwest Iowa into northern Missouri. Severe thunderstorms developed during the late afternoon over eastern Nebraska and southwest Iowa along these surface features with activity merging into a bow-echo complex that subsequently tracked into northwest Missouri by late evening. Brief tornadoes occurred  with a supercell over Cass County, NE  with intense, straight-line winds affecting the I-29 corridor in Fremont County, IA.",10
