iter	Passed	Remaining
0	333	332915
1	826	412419
2	1224	406955
3	1719	428167
4	2190	435853
5	2642	437747
6	3126	443586
7	3661	454000
8	4099	451422
9	4551	450636
10	4993	449001
11	5468	450243
12	5899	447888
13	6362	448086
14	6912	453937
15	7350	452055
16	7796	450807
17	8287	452126
18	8805	454648
19	9247	453123
20	9795	456678
21	10215	454142
22	10652	452509
23	11064	449938
24	11512	448972
25	11943	447412
26	12440	448334
27	12841	445781
28	13286	444868
29	13730	443954
30	14115	441217
31	14561	440476
32	14970	438673
33	15418	438066
34	15860	437287
35	16319	437011
36	16766	436389
